City,Company,Phone,URLS
YOSHKAR-OLA,Кобальт,tel:+78362720721,"http://redirect.2gis.com/account/?language=ru&id=70&firmId=9852161055786955&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=9852152465852362&utm_source=online&utm_medium=products&utm_campaign=card
/yoshkarola/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318
/yoshkarola/search/%D0%A1%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D1%8B%20%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8%20%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/319"
YOSHKAR-OLA,Ратник,tel:+78362960488,"http://redirect.2gis.com/account/?language=ru&id=70&firmId=9852161055787882&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=9852152465853289&utm_source=online&utm_medium=products&utm_campaign=card
/yoshkarola/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318
/yoshkarola/station/9852410163888140"
YOSHKAR-OLA,Никита,Неизвестно,"http://redirect.2gis.com/account/?language=ru&id=70&firmId=70000001047740254&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=70000001047740255&utm_source=online&utm_medium=products&utm_campaign=card
/yoshkarola/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318
/yoshkarola/station/9852410163888220"
YOSHKAR-OLA,"Секьюрити-Профи, охранный холдинг",tel:+78362728622,"/yoshkarola/branches/70000001023972859
http://link.2gis.ru/1.2/0D1AB841/online/20211101/project70/70000001023972860/null/7tBn96935C3HJ81301IGGGGGe0E9h195G6G9783224B82B71qEpt7A2845G42G6GG40J3JG7x69Buv19387A102255H1H3JH3ef?http://s-profy.ru
http://redirect.2gis.com/account/?language=ru&id=70&firmId=70000001023972859&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=70000001023972860&utm_source=online&utm_medium=products&utm_campaign=card"
YOSHKAR-OLA,ЛИГА,tel:+78362425894,"http://redirect.2gis.com/account/?language=ru&id=70&firmId=9852161055787884&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=9852152465878577&utm_source=online&utm_medium=products&utm_campaign=card
/yoshkarola/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318
/yoshkarola/station/9852410163888147"
YOSHKAR-OLA,Гюрза,tel:+78362714399,"https://vk.com/gyurza12ru
http://redirect.2gis.com/account/?language=ru&id=70&firmId=9852161055787783&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=9852152465853190&utm_source=online&utm_medium=products&utm_campaign=card
/yoshkarola/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318"
YOSHKAR-OLA,Антей,tel:+78362455329,"http://link.2gis.ru/1.2/6A84214B/online/20211101/project70/9852152465854537/null/zr9bnr935C3HJA9822IGGGG271nm9495G6G978322475568HqEpt7A2846G43G6GG4G4IJ4Jm3mkuv19387A62588A1H1JJ1fd?http://antey12.ru
https://instagram.com/chop_antey
https://vk.com/chop_antey
http://redirect.2gis.com/account/?language=ru&id=70&firmId=9852161055789130&utm_source=online&utm_medium=products&utm_campaign=card"
YOSHKAR-OLA,Охрана,tel:+78362462519,"/yoshkarola/branches/9852161055789140
http://link.2gis.ru/1.2/E6374667/online/20211101/project70/9852152465868718/null/vkmcgp935C3HJA9822IGGGG233u5wj95G6G978322489749HqEpt7A2847G44G6GG4G4IJ4Js1nmuv19387A62588A1H1JJ1df?http://ohrana12.ru
http://redirect.2gis.com/account/?language=ru&id=70&firmId=9852161055789140&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=9852152465868718&utm_source=online&utm_medium=products&utm_campaign=card"
YOSHKAR-OLA,Охрана,tel:+78362462519,"/yoshkarola/branches/9852161055789140
http://link.2gis.ru/1.2/0638E4BC/online/20211101/project70/70000001026716740/null/l56jgu935C3HJ81301IGGGGG6czg9d95G6G97A8424926A51qEpt7A2847G44G6GG40J3JG7yroyuv19387A102258H1H3JH315?http://ohrana12.ru
http://redirect.2gis.com/account/?language=ru&id=70&firmId=9852161055789140&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=70000001026716740&utm_source=online&utm_medium=products&utm_campaign=card"
YOSHKAR-OLA,ПРОФОХРАНА,tel:+78362728622,"/yoshkarola/branches/9852162156032456
http://redirect.2gis.com/account/?language=ru&id=70&firmId=9852162156032456&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=9852153466243941&utm_source=online&utm_medium=products&utm_campaign=card
/yoshkarola/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318"
YOSHKAR-OLA,ПРОФОХРАНА,tel:+78362728622,"/yoshkarola/branches/9852162156032456
http://redirect.2gis.com/account/?language=ru&id=70&firmId=9852162156032456&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=70000001047698241&utm_source=online&utm_medium=products&utm_campaign=card
/yoshkarola/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318"
YOSHKAR-OLA,"Секьюрити-Профи, охранный холдинг",tel:+78362728622,"/yoshkarola/branches/70000001023972859
http://link.2gis.ru/1.2/5DA20CAE/online/20211101/project70/70000001047698238/null/lesbtc935C3HJ81301IGGGGG6b9ztj95G6G97832248A8549qEpt7A2849G46G6GG40J3JG7v1keuv19387A102279H1H3JH3Af?http://s-profy.ru
http://redirect.2gis.com/account/?language=ru&id=70&firmId=70000001023972859&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=70000001047698238&utm_source=online&utm_medium=products&utm_campaign=card"
YOSHKAR-OLA,Щит-М,tel:+79177100486,"https://wa.me/79177100486?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A
http://redirect.2gis.com/account/?language=ru&id=70&firmId=70000001026950153&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=70000001026950154&utm_source=online&utm_medium=products&utm_campaign=card
/yoshkarola/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318"
YOSHKAR-OLA,Медведевское отделение вневедомственной охраны,tel:+78362582702,"http://redirect.2gis.com/account/?language=ru&id=70&firmId=70000001027414997&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=70000001027206233&utm_source=online&utm_medium=products&utm_campaign=card
/yoshkarola/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318
/yoshkarola/search/%D0%A1%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D1%8B%20%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8%20%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/319"
YOSHKAR-OLA,Эрго-Плюс,tel:+78362453009,"http://redirect.2gis.com/account/?language=ru&id=70&firmId=70000001031538537&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=70000001031538538&utm_source=online&utm_medium=products&utm_campaign=card
/yoshkarola/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318
/yoshkarola/station/9852410163888152"
YOSHKAR-OLA,НОП Цербер,tel:+78362501073,"http://redirect.2gis.com/account/?language=ru&id=70&firmId=70000001048045987&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=70000001048045988&utm_source=online&utm_medium=products&utm_campaign=card
/yoshkarola/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318
/yoshkarola/station/9852410163888219"
YOSHKAR-OLA,Контроль-М,tel:+78362501073,"http://redirect.2gis.com/account/?language=ru&id=70&firmId=70000001048046006&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=70000001048046007&utm_source=online&utm_medium=products&utm_campaign=card
/yoshkarola/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318
/yoshkarola/station/9852410163888219"
YOSHKAR-OLA,Русич,tel:+78362991525,"http://redirect.2gis.com/account/?language=ru&id=70&firmId=70000001050098510&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=70000001050098511&utm_source=online&utm_medium=products&utm_campaign=card
/yoshkarola/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318
/yoshkarola/station/9852410163888278"
